company_name_id;company_name;url;year_founded;city;state;country;zip_code;full_time_employees;Employees Mean;Employees STD;Employees;Office Size (m2);Mean sqm per worker;STD sqp per worker;Sqm per worker;company_type;company_category;revenue_source;business_model;social_impact;description;description_short;source_count;data_types;example_uses;data_impacts;financial_info;last_updated
aidin;Aidin;http://www.myAidin.com;2011;New York;NY;us;10013;01-10;5.5;1.5;8;155.06;19.05;0.93;19.382063;Private;Healthcare;Not reported by company;Business to Business, Business to Consumer;;Aidin helps hospitals and their patients choose the highest quality post-acute care available to them. By streamlining hospital staff's search process for available post-acute care and tracking and sharing with patients how well providers have performed with similar patients in the past, Aidin helps hospitals reduce length of stay and prevent costly and dangerous readmissions from post-acute care.;Aidin helps hospitals discharge their patients to the best available nursing homes, home health agencies, and other post-acute care providers.;01-10;;;[];;01:24.2
alarmcom;Alarm.com;www.alarm.com;2000;Leesburg Pike Vienna;VA;us;22182;201-500;350.5;49.8;281;5158.72;19.05;0.93;18.358437;Private;Lifestyle & Consumer;;Business to Consumer;;Alarm.com is a technology provider of connected home services, powering well over one million residential and commercial installations. Through its connected home platform, millions of people use Alarm.com to help protect and manage the things that matter most – their homes, families, and small businesses. Alarm.com connects a wide range of supported devices across the internet of things to provide an integrated connected home experience through an intelligent cloud-based services platform and easy to use mobile app. Alarm.com solutions are sold exclusively through a network of licensed and authorized Dealer Partners.;Alarm.com is a technology provider of connected home services, powering well over one million residential and commercial installations.;NA;Weather;;[];;55:04.7
allianz;Allianz;http://www.allianzusa.com;1896;New York;NY;us;10019;10,001+;22500.5;4166.5;20823;369502.34;16.49;2.09;17.744914;Public;Finance & Investment;Not reported by company;Business to Consumer;;Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.;Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.;NA;;;[];;55:21.5
allied-van-lines;Allied Van Lines;http://www.allied.com;1928;Oakbrook Terrace;IL;us;60181;5,001-10,000;7500.5;833.2;8263;153816.6;19.05;0.93;18.615104;Private;Transportation;Not reported by company;Business to Business, Business to Consumer, Business to Government;;Allied Van Lines is a global relocation company, serving individuals and corporations all over the world for their transportation and storage needs.;As part of Allied's moving services, the company offers customized solutions for  local, interstate and international moves.;NA;Demographics & Social;;[];;55:38.1
allstate-insurance-group;AllState Insurance Group;http://www.allstate.com;1931;Northbrook;IL;us;60062;10,001+;22500.5;4166.5;25527;374677.04;16.49;2.09;14.677676;Public;Insurance;Not reported by company;Business to Consumer;;The Allstate Corporation is a holding company for Allstate Insurance Company. The company’s business is conducted principally through Allstate Insurance Company, Allstate Life Insurance Company and their affiliates. It is engaged, principally in the United States, in the property-liability insurance, life insurance, retirement and investment product business. ;;;;;;;
alltuition;Alltuition;https://www.alltuition.com;2009;Chicago;IL;us;60611;01-10;5.5;1.5;5;83.49;19.05;0.93;16.697344;Private;Education;Not reported by company;Business to Consumer;Educational opportunity;Alltuition.com makes sure you don’t miss out on financial aid. Based on the colleges where you're applying for aid, we instantly match you to your opportunities and help you maximize your chances for aid.;Alltuition is an online search engine for students to find suitable loan providers.;;;;;;
american-red-ball-movers;American Red Ball Movers;http://www.redball.com;1919;Indianapolis;IN;us;46239;11-50;30.5;6.5;34;640.52;19.05;0.93;18.838799;Private;Transportation;Not reported by company;Business to Business, Business to Consumer;;American Red Ball Movers is a major long distance moving company in the US that serves families and businesses.;American Red Ball Movers is a long distance relocation moving company that serves families and businesses.;NA;Demographics & Social;;[];;57:54.0
amida-technology-solutions;Amida Technology Solutions;http://amida-tech.com/index.html;2013;Washington;DC;us;20036;01-10;5.5;1.5;6;110.88;19.05;0.93;18.480323;Private;Healthcare;Not reported by company;Business to Business, Business to Consumer;;Amida develops patient-centered solutions based on the Blue Button personal health record (PHR). The Amida Personal Health Information Exchange solution allows enterprises to offer capabilities that place the patient at the center of their health data. It enables two-way communication between patients and primary care physicians, pharmacies, labs, and specialty care providers. This means that patients, for the first time, will have a coherent view of all their health information.;Amida develops patient-centered solutions based on the Blue Button personal health record (PHR), the most popular PHR in the country.;NA;;;[];;44:41.8
analytica;Analytica;http://www.analytica.net/;2007;Washington DC;DC;us;20005;11-50;30.5;6.5;29;365.3;12.55;0.62;12.596595;Private;Data/Technology;Data analysis for clients, Database licensing, Software licensing, Information Brokering;Business to Business, Business to Government;;<p>Analytica is a leading-edge consulting and IT firm that provides solutions to managing, analyzing, leveraging and protecting information.  The company supports prominent US Public Sector (Federal, State, and Local agencies) and commercial organizations with innovative, value driven solutions supporting national security, law enforcement, health care, and financial services.</p>;;;;;;;
apextech-llc;Apextech LLC;apextechllc.com;2003;Arlington;VA;us;22201;11-50;30.5;6.5;36;434.31;12.55;0.62;12.064218;Private;Data/Technology;Data analysis for clients, Database licensing;Business to Government;;Apextech LLC's mission is to provide clients with effective tools and methods to measure their performance. As your provider of choice, Apextech addresses, analyzes, and evaluates current business processes and systems in order to effectively modify or augment our client’s capabilities. Our solutions are forward-thinking, flexible and scalable.;Apextech LLC, a commercial and government consulting firm, offers clients and partners innovative solutions to heighten business performance.;NA;;;[];We have developed solutions in the international development space for NGOs and are working towards integrating those systems with governmental development data from USAID, the World Bank, the EU and the CIDA (Canadian International Development Agency).;24:01.2
appallicious;Appallicious;appallicious.com;2010;San Francisco;CA;us;94104;11-50;30.5;6.5;26;339.15;12.55;0.62;13.044192;Private;Data/Technology;Software licensing;Business to Government;;Appallicious (http://www.appallicious.com) is an open data visualization company that creates open data products for government agencies using our proprietary platform. Current products include: Disaster Assessment and Assistance Dashboard (DAAD), Code Enforcement Dashboard (CEAD), Apartment Facts, SF Rec & Park App, Neighborhood Score. The civic start-up has also developed the SkippittTM platform, which enables governments and businesses to generate revenue by leveraging your existing customer base and extending it via mobile. Appallicious is based in San Francisco, CA and is a Silicon Valley Innovation Summit A0250 to Watch Winner.;The Appallicious Mobile Commerce Platform is a leading technology for government and business to go mobile.;NA;;;[];<p>In March 2012, a neighbor of Appallicious co-founder, Yo Yoshida, died tragically after falling through a dilapidated staircase in Yo's apartment. After her death, Yo was inspired to create an application that would provide San Francisco residents with more information about their neighborhoods and the places they live. Neighborhood Score lets you see a score for any block in San Francisco.</p>;
aquicore;Aquicore;http://www.aquicore.com/;2010;;DC;us;;01-10;5.5;1.5;6;87.59;15.55;0.55;14.59907;Private;Energy;;Business to Business;;Aquicore is an Energy Intelligence Solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties. Aquicore’s platform centralizes critical energy data and provides intuitive and graphical interfaces to streamline management and team collaboration. It's hardware allows for cost-effective and rapid deployment across hundreds of properties in a matter of months regardless of building age, size, or BMS system. Aquicore's platform enables organizations to make timely decisions that improve staff productivity, reduce energy waste, increase tenant satisfaction and meet strategic energy goals.;Aquicore is an Energy Intelligence Solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties.;NA;Energy;;[];;59:29.9
archimedes-inc;Archimedes Inc.;http://archimedesmodel.com/;2006;San Francisco;CA;us;94105;11-50;30.5;6.5;17;354.76;19.05;0.93;20.868438;Private;Healthcare;Software licensing;Business to Business, Business to Government, academia;;Archimedes is a healthcare modelling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision-making, as well as populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations.;Archimedes creates models using evidence from clinical trials, epidemiological studies, and other sources to show healthcare decision makers how different options affect outcomes and costs.;NA;;;[];;47:07.8
areavibes-inc;AreaVibes Inc.;http://www.areavibes.com/;2009;;NY;us;;01-10;5.5;1.5;4;51.78;12.55;0.62;12.945278;Private;Data/Technology;not reported by company;Business to Consumer;;AreaVibe works to provide you with everything you need to know about every city in the United States. The AreaVibe algorithm assigns a total score (“AreaVibe” in our speak) based on the most important metrics for each city, including: cost of living, crime rates, education, employment, health & safety, housing, weather, transportation, local businesses and even user reviews. The higher the score, the better the city (in our opinion).;AreaVibe works to provide you with everything you need to know about every city in the United States.;NA;Economics, Environment, Public Safety;;[];;35:56.5
arpin-van-lines;Arpin Van Lines;http://www.arpin.com;1900;West Warwick;RI;us;2893;201-500;350.5;49.8;336;6038.49;19.05;0.93;17.971694;Private;Transportation;Not reported by company;Business to Business, Business to Consumer, Business to Government;;Arpin Van Lines is a privately owned moving services company, a subsidiary of Arpin Group,  that specializes in U.S. domestic and worldwide moving and storage services, global information storage management services and environmental stewardship through its various subsidiaries.;Arpin Van Lines, headquartered in West Warwick, Rhode Island, provides household goods moving and storage services for corporate, government, military, and residential customers.;NA;;;[];;24:52.7
arrive-labs;Arrive Labs;http://home.downloadarrive.com;2011;San Francisco;CA;us;94110;01-10;5.5;1.5;4;79.39;19.05;0.93;19.847424;Private;Transportation;Not reported by company;;;Arrive Labs builds software solutions for urban transit solutions, that currently has created two apps - Arrive and TransitHero. Arrive is a multi-modal urban transit app for San Francisco providing information across all available modalities like train, bus, taxis, SideCar, ZipCar and our friends, Scoot Networks. ;;;;;;;
asc-partners;ASC Partners;http://www.asc-partners.com;2010;Boston;MA;us;;01-10;5.5;1.5;8;301.92;35.77;4.34;37.739752;Partnership;Business & Legal Services;Not reported by company;Business to Business;;ASC Partners offers business financial applications specific to small-to-medium size organizations in various industries. We provide extensive experience in technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions. We design cost-effective plans for customers to achieve ongoing productivity.;ASC helps companies improve their productivity through technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions.;NA;;;[];;31:47.8
asset4;Asset4;asset4.com;2003;New York;NY;us;10036;51-200;125.5;24.8;83;1325.12;16.49;2.09;15.965329;Private;Finance & Investment;Not reported by company;Business to Business;;ASSET4 AG provides investment research information on economic, environmental, social, and governance (ESG) aspects of corporate performance. The company provides a database containing ESG information of publicly listed companies, countries, local authorities, state-owned companies, and supranational entities in a Web based architecture. It also provides equity-focused solutions and fixed income solutions for professional investors and corporate executives;;;;;;;
atlas-van-lines;Atlas Van Lines;http://www.atlasvanlines.com;1948;Evansville;IN;us;47712;201-500;350.5;49.8;272;5098.48;19.05;0.93;18.744428;Private;Transportation;Customers;Business to Business, Business to Consumer;;Atlas Van Lines is a subsidiary of Atlas World Group, a family of companies headquartered in Evansville, Indiana. Atlas serves markets for global relocation, benefits, recruiting, logistics and travel, through a network of more than 500 Atlas Agents in the United States and Canada, and service partners operating in 140 countries around the world. A commitment to integrity, quality and solutions still guides the company, just as Atlas Agent-owners still set the policies that further service excellence.;Atlas World Group, Inc. is a family of companies delivering transportation and related services globally through a network of quality agents and select service partners.;01-10;;;[];Atlas Van Lines, the flagship of Atlas World Group, is the second-largest carrier of household goods in the U.S. More than 500 Atlas Agents own and operate the equipment and warehouses required for providing the company's services.;47:44.6
atsite;AtSite;www.atsiteinc.com;1993;Washington, D.C.;DC;us;20036;51-200;125.5;24.8;138;3605.88;24.86;4.42;26.129597;Private;Research & Consulting;;Business to Business;;AtSite's open-source technology and building performance solutions help organizations maximize the strategic value and long-term performance of real estate assets. Our experts enable executives and building management teams to reduce costs, mitigate risk and scale for greater efficiency.;AtSite's open-source technology and building performance solutions help organizations maximize the strategic value and long-term performance of real estate assets;NA;Energy;;[];;19:44.4
aunt-bertha-inc;Aunt Bertha, Inc.;auntbertha.com;2010;Austin;TX;us;78731;11-50;30.5;6.5;25;897.84;35.77;4.34;35.913494;Private;Governance;Software licensing, Subscriptions;Business to Consumer;;At Aunt Bertha, Inc., we collect all federal, state, county, city, neighborhood, and charity program information and put it in one place. If it's based on need, then we collect it. Using information we learn about programs, and what we learn from the user, we intelligently match people with services that are designed specifically for their situation.;Aunt Bertha picks up where Uncle Sam leaves off by making it easy to find and apply for government and charitable social service programs.;11-50;;;[];;04:03.1
aureus-sciences-now-part-of-elsevier;Aureus Sciences (*Now part of Elsevier);http://www.aureus-sciences.com;2000;Philadelphia;PA;us;19103;11-50;30.5;6.5;36;835.32;24.86;4.42;23.203283;Private;Scientific Research;Not reported by company;Business to Business;;Aureus Science provides Knowledge Management Systems that are uniquely designed for drug discovery research. Aureus delivers life sciences information solutions that integrate structured knowledge databases with powerful search and insight applications to turn Turn Data into Discovery. ;;;;;;;
autogrid-systems;AutoGrid Systems;http://www.auto-grid.com;2011;Redwood Shores;CA;us;94065;11-50;30.5;6.5;19;290.57;15.55;0.55;15.29293;Private;Energy;Not reported by company;Business to Business, Business to Consumer, Business to Government;;AutoGrid Systems is organizing the world's energy data by bringing Internet scale cloud-computing to process and analyze the petabytes of energy data produced from an increasingly networked and automated grid. AutoGrid then employs big data analytics to generate real-time predictions that creates actionable data for electricity generators, providers, grid operators, and their customers to improve the utilization of the grid and manage the cost to serve.;AutoGrid Systems is organizing the world's energy data by bringing cloud-computing to process and analyze data produced from an increasingly networked and automated grid.;NA;Weather;;[];;46:26.0
avalara;Avalara;http://www.avalara.com;2004;Bainbridge Island;WA;us;98110;501-1,000;750.5;83.2;848;15280.7;16.49;2.09;18.01969;Private;Finance & Investment;Not reported by company;Business to Consumer;;Avalara has created a web-based platform that provides a complete package of automated end to end compliance services. Avalara works within your own financial, billing, ecommerce, or point of sale system to automate sales and use tax and compliance. Once configured, you never again worry about ever-changing, impenetrable rates, rules, boundaries, exemptions, tax holidays, reporting requirements, filing deadlines, etc. Avalara combines technology with available statutory content to deliver fully automated sales tax compliance solutions.;Avalara combines technology with available statutory content to deliver fully automated sales tax compliance solutions.;101+;;;[];;02:05.3
avvo;Avvo;http://www.avvo.com;2006;Seattle;WA;us;98104;51-200;125.5;24.8;146;4935.35;35.77;4.34;33.803747;Private;Business & Legal Services;Not reported by company;Business to Consumer;;Avvo.com is a legal marketplace for consumers and attorneys. In Avvo's Q&A forum, consumers can get free legal advice 24/7 from more than 160,000 participating lawyers, and Avvo's directory provides comprehensive profiles, client reviews, peer endorsements and the industry-recognized Avvo Rating for more than 97 percent of all lawyers in the U.S. Avvo also helps lawyers grow their business with Avvo Ignite, a cloud-based marketing platform and website solution designed specifically for attorneys.;Avvo.com is a legal marketplace for consumers and attorneys.;101+;;;[];;04:49.4
ayasdi;Ayasdi;http://www.ayasdi.com/;2008;Menlo Park;CA;us;94025;51-200;125.5;24.8;158;2178.39;12.55;0.62;13.787292;Private;Data/Technology;Not reported by company;Business to Business;;Ayasdi is an enterprise software platform that changes the way the organizations discover, extract and operationalize insights from complex data. Our approach combines advanced machine-learning with Topological Data Analysis (TDA) to automate how data scientists, domain experts, and business people achieve value from their data without the need to write code, queries, or ask questions. Ayasdi’s customers include General Electric, Citigroup, Merck, Anadarko, U.S. Food and Drug Administration (FDA), Centers for Disease Control and Prevention (CDC), the University of California San Francisco (UCSF), and Mount Sinai Hospital.;Ayasdi is an enterprise software platform that changes the way the organizations discover, extract and operationalize insights from complex data.;NA;Health/Healthcare;;[];Funded by Khosla Ventures, Institutional Venture Partners, GE Ventures, Citi Ventures, and FLOODGATE;38:23.9
azavea;Azavea;azavea.com;2000;Philadelphia;PA;us;19107;11-50;30.5;6.5;34;994.47;24.86;4.42;29.249156;Private;Geospatial/Mapping;Data analysis for clients, Database licensing, Subscriptions, Software Development Services, Open Source Software;Business to Business, Business to Government;;Azavea is a certified B Corporation whose mission is to apply geospatial technology for positive civic and social impact while advancing the state-of-the-art through research. ;;;;;;;
balefire-global;BaleFire Global;http://balefireglobal.com;2014;Raleigh;NC;us;27628;01-10;5.5;1.5;5;66.05;12.55;0.62;13.209265;Private;Data/Technology;Data analysis for clients, Database licensing, Open Data Portal Deployment;Business to Government;;BaleFire Global provides training, civic engagement and client success to NGOs and governments around the world. As an Open Data Institute Node we provide open data thought leadership and strategy as well as implementation and custom design. Our goal is to build a citizen experience the leads to transparency and positive economic impact using your open government data.;BaleFire Global provides training, civic engagement and client success to NGOs and governments around the world.;101+;;;[];The three LLC partners each pledged 20,000.00 as start-up money for the company. We primarily work with Socrata as the client services vendor but also consult with government organizations on open data strategy. Our projected revenue for 2014 is around 1.2 million.;35:25.2
barchart;Barchart;www.barchartmarketdata.com;1995;Chicago;IL;us;60606;51-200;125.5;24.8;113;1355.38;12.55;0.62;11.994529;Private;Data/Technology;Advertising, Data analysis for clients, Database licensing, Software licensing, Subscriptions, User fees for web or mobile access;Business to Business;;Barchart.com is a full-service provider of futures, equity and foreign exchange market data. Barchart provides a wide range of market data products and solutions. As an established organization in an industry that demands accuracy and innovation, Barchart’s goal is to form partnerships that deliver comprehensive solutions for success, and has clients in the financial, agricultural, energy and media industries.;Barchart.com is a full-service provider of futures, equity and foreign exchange market data.;01-10;;;[u'New or improved product/service'];;31:29.1
be-informed;Be Informed;http://www.beinformed.com/BeInformed/website/en?init=true;2006;New York;NY;us;10022;51-200;125.5;24.8;136;1685.02;12.55;0.62;12.389859;Private;Data/Technology;Not provided by company;Business to Business;;Be Informed is an internationally operating, independent software vendor. The Be Informed business process platform transforms administrative processes. Thanks to Be Informed’s unique semantic technology and solutions, business applications become completely model-driven, allowing organizations to instantly execute on new strategies and regulations.;Be Informed’s semantic technology and solutions makes business applications completely model-driven, allowing organizations to instantly execute on new strategies and regulations.;NA;;;[];;36:13.9
bekins;Bekins;http://www.bekins.com;1891;Indianapolis;IN;us;46250;51-200;125.5;24.8;122;2315.13;19.05;0.93;18.976449;Private;Transportation;Not reported by company;Business to Business, Business to Government;;Bekins offers private and corporate domestic and international household goods relocation services as well as special commodities and logistic services.;Bekins offers private and corporate domestic and international household goods relocation services as well as special commodities and logistic services.;NA;;;[];;22:49.5
berkery-noyes-mandasoft;Berkery Noyes MandASoft;https://mandasoft.com/;2009;New York;NY;us;10006;01-10;5.5;1.5;7;107.9;16.49;2.09;15.414723;Private;Finance & Investment;Not reported by company;Business to Business, Business to Consumer;;MandAsoft.com, provided by Berkery Noves, is an information service that provides mergers and acquisitions data via a hosted and searchable database. It is based on the Berkery Noyes Information Industry Weekly report, a resource for mergers and acquisitions data for many top executives of companies that have been shaping the future of information. Although anyone interested in M&A would find MandAsoft.com to be useful, this service is geared towards a C-level executive who wants to quickly find and review information industry transactions and companies with an eye toward finding a match for their own products and services.;MandAsoft.com, created by Berkery Noyes, is a simple, powerful information service that provides mergers and acquisitions data via a hosted, graphically enhanced and searchable database.;101+;;;[];;20:08.4
berkshire-hathaway;Berkshire Hathaway;http://www.berkshirehathaway.com;1998;Omaha;NE;us;;5,001-10,000;7500.5;833.2;7005;123112.45;16.49;2.09;17.574939;Public;Finance & Investment;Not reported by company;;;Berkshire Hathaway Inc. is a holding company owning subsidiaries engaged in a number of diverse business activities. The Company is engaged in the insurance businesses conducted on both a primary basis and a reinsurance basis, a freight rail transportation business and a group of utility, and energy generation and distribution businesses. Berkshire also owns and operates a number of other businesses engaged in a variety of activities.;Berkshire Hathaway Inc. is a multinational conglomerate holding company that oversees and manages a number of subsidiary companies.;101+;Education, Finance;;[];;41:26.5
betterlesson;BetterLesson;http://betterlesson.com;2008;Cambridge;MA;us;2140;11-50;30.5;6.5;39;773.89;19.05;0.93;19.843441;Private;Education;Not reported by company;Business to Consumer, Business to Government;;BetterLesson is focused on aggregating and scaling the content and practices from high-performing teachers across the country. BetterLesson was founded by a group of public schools teachers to connect educators and help them create, organize, and share their curricula.;BetterLesson was founded by a group of public schools teachers to connect educators and help them create, organize, and share their curricula.;NA;Education;;[];;10:00.3
billguard;BillGuard;https://www.billguard.com;2010;New York;NY;us;11036;11-50;30.5;6.5;36;438.65;16.49;2.09;12.184649;Private;Finance & Investment;User fees for web or mobile access;Business to Consumer;;"BillGuard's mission is to use data to save people money. American consumers lose over $14 billion a year to legal grey charges which result from misleading sales and billing practices. We developed advanced crowd-sourcing technology to collect and analyze billing dispute data from millions of consumers in order to extract patterns of fraud and ""Grey Charges"". We use these analytics to monitor our user's credit and debit card statements, alerting them to similar charges on their cards and helping them get their money back.";BillGuard is a personal finance security company harnessing the collective knowledge of millions of consumers to protect Americans from fraud and grey charges.;NA;;;[];We have raised $13M to date from Google chairman Eric Schmidt, PayPal founder Peter Thiel, legendary VC Vinod Khosla, Bessemer Venture Partners, IA Venture Partners and others.  We are still a pre-revenue startup. We plan to generate revenue by certifying trusted merchants with our crowd-powered data.;29:03.7
bing;Bing;http://www.bing.com;2009;Redmond;WA;us;98052;10,001+;22500.5;4166.5;18745;246120.61;12.55;0.62;13.129934;Private;Data/Technology;Not reported by company;;;Bing is a decision (search) engine from Microsoft that combines technology from the Farecast and Powerset acquisitions, as well as new algorithms and a more colorful page design, to attempt to understand the context behind the search, which Microsoft claims gives users better results.;Bing is a Microsoft decision (search) engine that attempts to understand the context behind the search, which Microsoft claims gives users better results.;NA;Health/Healthcare;;[];;00:22.4
blackrock;BlackRock;http://www.blackrock.com;1988;Atlanta;GA;us;30326;10,001+;22500.5;4166.5;21140;370300.82;16.49;2.09;17.516595;Public;Finance & Investment;Not reported by company;Business to Business, Business to Consumer;;BlackRock offers mutual funds, closed-end funds, managed accounts and alternative investments to individuals, institutions and financial professionals. Our mission is to create a better financial future for our clients.;BlackRock is an asset management firm that works with individuals and institutions from all over the world.;NA;Finance;;[];;37:12.8
bloomberg;Bloomberg;http://www.bloomberg.com;1982;New York;NY;us;10022;10,001+;22500.5;4166.5;17563;302630.9;16.49;2.09;17.231162;Private;Finance & Investment;Not reported by company;Business to Business, Business to Consumer;;Bloomberg, a global business and financial information and news provider, gives influential decision-makers a critical edge by connecting them to a dynamic network of information, people and ideas. ;;;;;;;
booz-allen-hamilton;Booz Allen Hamilton;http://www.boozallen.com;1914;McLean;VA;us;22102;10,001+;22500.5;4166.5;26981;609546.09;24.86;4.42;22.591679;Public;Research & Consulting;Not reported by company;Business to Business;;Booz Allen Hamilton is a strategic management and technology consulting firm offering a full range of consulting services to senior management in industry and government. Our approach to management and technology consulting combines domain expertise with strong capabilities in strategy, and organization, analytics, technology and operations. ;;;;;;;
